assignment_id	query_id	query_donor_id	query_procedure_id	query_region	query_specimen_id	query_block_id	query_he_section_id	query_st_section_id	query_capture_id	reference_sample_id	reference_donor_id	reference_specimen_id	reference_block_id	reference_aliquot_or_curl_id	reference_modality	claimed_match_tier	verified_match_tier	primary_eligible	primary_selected	metadata_evidence_path	metadata_evidence_sha256	metadata_row_key	payload_identity_verified	registration_verified	verification_status	target_access_state	selection_tiebreak_sha256	same_donor_wrong_block_reference_candidates	exclusion_reason
SDLPFC_A01	V10U24-091_B1	Br2720	not_resolved_in_local_metadata	mid	DLPFC_Br2720_mid	mid	V10U24-091_B1_Br2720_DLPFC_mid_2.tif	V10U24-091_B1	V10U24-091_B1	snRNA_Br2720_mid	Br2720	DLPFC_Br2720_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br2720;block=mid;capture=V10U24-091_B1	false	false	metadata_filename_typo_resolved_payload_unverified	opaque_ST_object_not_loaded	c59a029a42369bd1dfe207e9bda2a3d8d6fddccd7811a1c7e3eae9c0b15bb9a6	snRNA_Br2720_post	filename_typo_resolved_by_capture_serial_area_subject_key_but_payload_reference_aliquot_and_registration_pending
SDLPFC_A02	V10U24-091_C1	Br2720	not_resolved_in_local_metadata	post	DLPFC_Br2720_post	post	V10U24-091_C1_Br2720_DLPFC_post_3.tif	V10U24-091_C1	V10U24-091_C1	snRNA_Br2720_post	Br2720	DLPFC_Br2720_post	post	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br2720;block=post;capture=V10U24-091_C1	false	false	metadata_filename_typo_resolved_payload_unverified	opaque_ST_object_not_loaded	6ba37283620997986967453d7ff586af8f12733e523143811c0bdfe10bc3490c	snRNA_Br2720_mid	filename_typo_resolved_by_capture_serial_area_subject_key_but_payload_reference_aliquot_and_registration_pending
SDLPFC_A03	V19B23-075_A1	Br2743	not_resolved_in_local_metadata	ant	DLPFC_Br2743_ant	ant	Liebert_Institute_OTS-20-7690_rush_anterior_1.tif	V19B23-075_A1	V19B23-075_A1	snRNA_Br2743_ant	Br2743	DLPFC_Br2743_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br2743;block=ant;capture=V19B23-075_A1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	fef643bc38f70c7c3332ce03396d0ce3d9c6c080601010d879fec032892db705	snRNA_Br2743_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A04	V19B23-074_A1	Br2743	not_resolved_in_local_metadata	mid	DLPFC_Br2743_mid	mid	Liebert_Institute_OTS-20-7748_rush-001_mid_1.tif	V19B23-074_A1	V19B23-074_A1	snRNA_Br2743_mid	Br2743	DLPFC_Br2743_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br2743;block=mid;capture=V19B23-074_A1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	d0fa47f0f28e8a1a7ee7d79cd33b01d06d6ce9545d54e1d227f335121f024fd3	snRNA_Br2743_ant	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A05	V19B23-075_B1	Br3942	not_resolved_in_local_metadata	ant	DLPFC_Br3942_ant	ant	Liebert_Institute_OTS-20-7690_rush_anterior_2.tif	V19B23-075_B1	V19B23-075_B1	snRNA_Br3942_ant	Br3942	DLPFC_Br3942_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br3942;block=ant;capture=V19B23-075_B1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	da696564c6010261c1419b2b2af0b552b116d031230e17265e7e78be031d1bf0	snRNA_Br3942_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A06	V19B23-074_B1	Br3942	not_resolved_in_local_metadata	mid	DLPFC_Br3942_mid	mid	Liebert_Institute_OTS-20-7748_rush-001_mid_2.tif	V19B23-074_B1	V19B23-074_B1	snRNA_Br3942_mid	Br3942	DLPFC_Br3942_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br3942;block=mid;capture=V19B23-074_B1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	076597b7af4871cb0bf1d61f1d09296e60b2857c29dfe334c43003a295ce9ac1	snRNA_Br3942_ant	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A07	V19B23-075_C1	Br6423	not_resolved_in_local_metadata	ant	DLPFC_Br6423_ant	ant	Liebert_Institute_OTS-20-7690_rush_anterior_3.tif	V19B23-075_C1	V19B23-075_C1	snRNA_Br6423_ant	Br6423	DLPFC_Br6423_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6423;block=ant;capture=V19B23-075_C1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	b9e8252c428624546e7d476f8e4b1848f1f4d4bc007df9420d2c7daea3766f1a	snRNA_Br6423_post	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A08	V19B23-073_C1	Br6423	not_resolved_in_local_metadata	post	DLPFC_Br6423_post	post	Liebert_Institute_OTS-20-7748_rush_posterior_3.tif	V19B23-073_C1	V19B23-073_C1	snRNA_Br6423_post	Br6423	DLPFC_Br6423_post	post	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6423;block=post;capture=V19B23-073_C1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	069528a30541ca66c359a17923c7e09c0887b90a8d7c6527de22d7f0216dff99	snRNA_Br6423_ant	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A09	V10B01-002_B1	Br6432	not_resolved_in_local_metadata	ant	DLPFC_Br6432_ant	ant	V10B01-002_B1_Br6432_ant_DLPFC.tif	V10B01-002_B1	V10B01-002_B1	snRNA_Br6432_ant	Br6432	DLPFC_Br6432_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6432;block=ant;capture=V10B01-002_B1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	e21b1c0c433d4593efb3416696274db218140cdbdb5a527c910542bee86f0784	none	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A10	V10U24-094_A1	Br6471	not_resolved_in_local_metadata	ant	DLPFC_Br6471_ant	ant	1000140_dlpfc_ant_round3_A1.tif	V10U24-094_A1	V10U24-094_A1	snRNA_Br6471_ant	Br6471	DLPFC_Br6471_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6471;block=ant;capture=V10U24-094_A1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	12819cf56601fc74c66f6e62c58f40bced56ff38171e64003e71ce8e165ba772	snRNA_Br6471_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A11	V10B01-052_A1	Br6471	not_resolved_in_local_metadata	mid	DLPFC_Br6471_mid	mid	1000145_dlpfc_mid_round3_A1.tif	V10B01-052_A1	V10B01-052_A1	snRNA_Br6471_mid	Br6471	DLPFC_Br6471_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6471;block=mid;capture=V10B01-052_A1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	078d624f62370d5106aa9a2908231ec3ce9ff1607d89754fdda5f0e30714a646	snRNA_Br6471_ant	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A12	V10B01-052_B1	Br6522	not_resolved_in_local_metadata	mid	DLPFC_Br6522_mid	mid	1000145_dlpfc_mid_round3_B1.tif	V10B01-052_B1	V10B01-052_B1	snRNA_Br6522_mid	Br6522	DLPFC_Br6522_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6522;block=mid;capture=V10B01-052_B1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	c2f1a7d0c63690745915cb15bd23e3b9215012192dc0c3a47812de12d04ee40d	snRNA_Br6522_post	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A13	V10B01-053_B1	Br6522	not_resolved_in_local_metadata	post	DLPFC_Br6522_post	post	1000146_dlpfc_post_round3_B1.tif	V10B01-053_B1	V10B01-053_B1	snRNA_Br6522_post	Br6522	DLPFC_Br6522_post	post	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br6522;block=post;capture=V10B01-053_B1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	4d21898880cea8347a449ed3f7c7ddf04ac6a179e95d878ffa1ff75f8c029d7f	snRNA_Br6522_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A14	V10U24-094_C1	Br8325	not_resolved_in_local_metadata	ant	DLPFC_Br8325_ant	ant	1000140_dlpfc_ant_round3_C1.tif	V10U24-094_C1	V10U24-094_C1	snRNA_Br8325_ant	Br8325	DLPFC_Br8325_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8325;block=ant;capture=V10U24-094_C1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	61a315e4ae8b40056ec98f6bf6b66080ee72112680e0018be217757172fbe8e9	snRNA_Br8325_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A15	V10B01-002_C1	Br8325	not_resolved_in_local_metadata	mid	DLPFC_Br8325_mid	mid	V10B01-002_C1_Br8325_mid_DLPFC.tif	V10B01-002_C1	V10B01-002_C1	snRNA_Br8325_mid	Br8325	DLPFC_Br8325_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8325;block=mid;capture=V10B01-002_C1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	ce552fb525a8e97775b85cfb40808e4f3c1e042840ce34c282a53dbb0387f689	snRNA_Br8325_ant	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A16	V19B23-074_D1	Br8492	not_resolved_in_local_metadata	mid	DLPFC_Br8492_mid	mid	Liebert_Institute_OTS-20-7748_rush-001_mid_4.tif	V19B23-074_D1	V19B23-074_D1	snRNA_Br8492_mid	Br8492	DLPFC_Br8492_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8492;block=mid;capture=V19B23-074_D1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	94ba480244d1202aee8ed838f819b6c7e44e47c369b3f5806c794796d3d26be9	snRNA_Br8492_post	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A17	V19B23-073_D1	Br8492	not_resolved_in_local_metadata	post	DLPFC_Br8492_post	post	Liebert_Institute_OTS-20-7748_rush_posterior_4.tif	V19B23-073_D1	V19B23-073_D1	snRNA_Br8492_post	Br8492	DLPFC_Br8492_post	post	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8492;block=post;capture=V19B23-073_D1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	5a50d59372e80cde4bfe034df8f4b2f1522ea0b81c759985af47084a8c840e2a	snRNA_Br8492_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A18	V10U24-094_D1	Br8667	not_resolved_in_local_metadata	ant	DLPFC_Br8667_ant	ant	1000140_dlpfc_ant_round3_D1.tif	V10U24-094_D1	V10U24-094_D1	snRNA_Br8667_ant	Br8667	DLPFC_Br8667_ant	ant	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8667;block=ant;capture=V10U24-094_D1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	d313829b1e9d696fc88e752c826eebb18f608a99e4dd792829e0bec5a9251e1c	snRNA_Br8667_mid	payload_identity_registration_reference_aliquot_and_support_pending
SDLPFC_A19	V10B01-052_D1	Br8667	not_resolved_in_local_metadata	mid	DLPFC_Br8667_mid	mid	1000145_dlpfc_mid_round3_D1.tif	V10B01-052_D1	V10B01-052_D1	snRNA_Br8667_mid	Br8667	DLPFC_Br8667_mid	mid	unresolved_pending_snRNA_payload_metadata	snRNA-seq	T0_exact_same_block_independent_aliquot	unresolved	false	false	rna_seq.csv;imaging_sample_info.csv	902a788af3fe35ed2d0e602dcced4a15d3853c1234f3e8047dfcbcb13ad8558c;69f90e4d3365979a3211e1935f77e758731b918a3d8d6bb5a7b51b102abd6a86	donor=Br8667;block=mid;capture=V10B01-052_D1	false	false	metadata_candidate_payload_unverified	opaque_ST_object_not_loaded	7e65ad70e0380d975d4bd958ecf8b132d349f2981aed921bdb99d5b871c43923	snRNA_Br8667_ant	payload_identity_registration_reference_aliquot_and_support_pending
